X,Year,CrimeType ,CrimeDetails,CrimeCount,State
144,2011,Murder,Murder,49,Madhya Pradesh
145,2011,Rape,Rape,306,Madhya Pradesh
146,2011,Kidnapping Abduction,Kidnapping Abduction,39,Madhya Pradesh
147,2011,Dacoity,Dacoity,2,Madhya Pradesh
148,2011,Robbery,Robbery,1,Madhya Pradesh
149,2011,Arson,Arson,5,Madhya Pradesh
150,2011,Hurt,Hurt,263,Madhya Pradesh
151,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Madhya Pradesh
152,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,1,Madhya Pradesh
153,2011,Other Crimes Against STs,Other Crimes Against STs,618,Madhya Pradesh
154,2011,Total,Total,1284,Madhya Pradesh
155,2011,Murder,Murder,16,Maharashtra
156,2011,Rape,Rape,57,Maharashtra
157,2011,Kidnapping Abduction,Kidnapping Abduction,11,Maharashtra
158,2011,Dacoity,Dacoity,3,Maharashtra
159,2011,Robbery,Robbery,2,Maharashtra
160,2011,Arson,Arson,4,Maharashtra
161,2011,Hurt,Hurt,18,Maharashtra
162,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Maharashtra
163,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,61,Maharashtra
164,2011,Other Crimes Against STs,Other Crimes Against STs,149,Maharashtra
165,2011,Total,Total,321,Maharashtra
166,2011,Murder,Murder,0,Manipur
167,2011,Rape,Rape,0,Manipur
168,2011,Kidnapping Abduction,Kidnapping Abduction,0,Manipur
169,2011,Dacoity,Dacoity,0,Manipur
170,2011,Robbery,Robbery,0,Manipur
171,2011,Arson,Arson,0,Manipur
172,2011,Hurt,Hurt,0,Manipur
173,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Manipur
174,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Manipur
175,2011,Other Crimes Against STs,Other Crimes Against STs,1,Manipur
176,2011,Total,Total,1,Manipur
177,2011,Murder,Murder,0,Meghalaya
178,2011,Rape,Rape,0,Meghalaya
179,2011,Kidnapping Abduction,Kidnapping Abduction,0,Meghalaya
180,2011,Dacoity,Dacoity,0,Meghalaya
181,2011,Robbery,Robbery,0,Meghalaya
182,2011,Arson,Arson,0,Meghalaya
183,2011,Hurt,Hurt,0,Meghalaya
184,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Meghalaya
185,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Meghalaya
186,2011,Other Crimes Against STs,Other Crimes Against STs,0,Meghalaya
187,2011,Total,Total,0,Meghalaya
188,2011,Murder,Murder,0,Mizoram
189,2011,Rape,Rape,0,Mizoram
190,2011,Kidnapping Abduction,Kidnapping Abduction,0,Mizoram
191,2011,Dacoity,Dacoity,0,Mizoram
192,2011,Robbery,Robbery,0,Mizoram
193,2011,Arson,Arson,0,Mizoram
194,2011,Hurt,Hurt,0,Mizoram
195,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Mizoram
196,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Mizoram
197,2011,Other Crimes Against STs,Other Crimes Against STs,0,Mizoram
198,2011,Total,Total,0,Mizoram
199,2011,Murder,Murder,0,Nagaland
200,2011,Rape,Rape,0,Nagaland
201,2011,Kidnapping Abduction,Kidnapping Abduction,0,Nagaland
202,2011,Dacoity,Dacoity,0,Nagaland
203,2011,Robbery,Robbery,0,Nagaland
204,2011,Arson,Arson,0,Nagaland
205,2011,Hurt,Hurt,0,Nagaland
206,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Nagaland
207,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Nagaland
208,2011,Other Crimes Against STs,Other Crimes Against STs,0,Nagaland
209,2011,Total,Total,0,Nagaland
210,2011,Murder,Murder,6,Orissa
211,2011,Rape,Rape,45,Orissa
212,2011,Kidnapping Abduction,Kidnapping Abduction,4,Orissa
213,2011,Dacoity,Dacoity,0,Orissa
214,2011,Robbery,Robbery,0,Orissa
215,2011,Arson,Arson,3,Orissa
216,2011,Hurt,Hurt,20,Orissa
217,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Orissa
218,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,406,Orissa
219,2011,Other Crimes Against STs,Other Crimes Against STs,0,Orissa
220,2011,Total,Total,484,Orissa
221,2011,Murder,Murder,0,Punjab
222,2011,Rape,Rape,0,Punjab
223,2011,Kidnapping Abduction,Kidnapping Abduction,0,Punjab
224,2011,Dacoity,Dacoity,0,Punjab
225,2011,Robbery,Robbery,0,Punjab
226,2011,Arson,Arson,0,Punjab
227,2011,Hurt,Hurt,0,Punjab
228,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Punjab
229,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Punjab
230,2011,Other Crimes Against STs,Other Crimes Against STs,0,Punjab
231,2011,Total,Total,0,Punjab
232,2011,Murder,Murder,19,Rajasthan
233,2011,Rape,Rape,50,Rajasthan
234,2011,Kidnapping Abduction,Kidnapping Abduction,18,Rajasthan
235,2011,Dacoity,Dacoity,0,Rajasthan
236,2011,Robbery,Robbery,1,Rajasthan
237,2011,Arson,Arson,7,Rajasthan
238,2011,Hurt,Hurt,108,Rajasthan
239,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Rajasthan
240,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,20,Rajasthan
241,2011,Other Crimes Against STs,Other Crimes Against STs,1040,Rajasthan
242,2011,Total,Total,1263,Rajasthan
243,2011,Murder,Murder,0,Sikkim
244,2011,Rape,Rape,0,Sikkim
245,2011,Kidnapping Abduction,Kidnapping Abduction,1,Sikkim
246,2011,Dacoity,Dacoity,0,Sikkim
247,2011,Robbery,Robbery,1,Sikkim
248,2011,Arson,Arson,1,Sikkim
